OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuod;medod;minod;maxod;devod;latitude;longitude
1271;PA009;2020;MG;IGAM;Rio São João (SF2);1;8,000000000000000;5,587500000000000;3,700000000000000;7,700000000000000;1,390208000000000;-20,059939999999997;-44,607720000000000
1272;PA010;2020;MG;IGAM;Ribeirão Paciência;1;8,000000000000000;6,487500000000000;5,000000000000000;7,800000000000000;1,061586000000000;-19,788970000000003;-44,707419999999999
1273;PA011;2020;MG;IGAM;Rio São João (SF2);1;8,000000000000000;6,875000000000000;4,900000000000000;8,600000000000000;1,324225000000000;-19,723640000000000;-44,858029999999999
1274;PA013;2020;MG;IGAM;Rio Pará;1;8,000000000000000;7,537500000000000;6,300000000000000;8,699999999999999;0,853459000000000;-19,694500000000001;-44,929610000000004
1275;PA015;2020;MG;IGAM;Rio Lambari (SF2);1;8,000000000000000;7,637500000000000;5,700000000000000;8,900000000000000;1,015505000000000;-19,530470000000001;-45,021690000000000
1276;PA017;2020;MG;IGAM;Rio do Picão;1;8,000000000000000;5,625000000000000;3,600000000000000;7,200000000000000;1,149845000000000;-19,331389999999999;-45,221779999999995
1277;PA018;2020;MG;IGAM;Rio São João (SF2);1;4,000000000000000;6,525000000000000;4,700000000000000;8,100000000000000;1,558578000000000;-19,850000000000001;-44,789999999999999
1278;PA019;2020;MG;IGAM;Rio Pará;1;8,000000000000000;7,600000000000000;5,300000000000000;8,900000000000000;1,259251000000000;-19,270000000000000;-45,132779999999997
1279;PA020;2020;MG;IGAM;Ribeirão da Fartura;1;8,000000000000000;6,350000000000000;5,500000000000000;7,600000000000000;0,798212000000000;-19,879529999999999;-44,931419999999996
1280;PA021;2020;MG;IGAM;Rio do Picão;1;8,000000000000000;6,450000000000000;5,100000000000000;7,600000000000000;0,908688000000000;-19,588690000000000;-45,299360000000000
1281;PA022;2020;MG;IGAM;Ribeirão Diamante;1;8,000000000000000;6,687500000000000;4,500000000000000;8,100000000000000;1,170394000000000;-20,047439999999998;-45,202810000000007
1282;PA023;2020;MG;IGAM;Ribeirão Palmital;1;8,000000000000000;7,212500000000000;5,500000000000000;8,500000000000000;0,918753000000000;-20,370000000000001;-44,680000000000000
1283;PA024;2020;MG;IGAM;Ribeirão Passa Tempo;1;8,000000000000000;6,537500000000000;4,700000000000000;8,000000000000000;1,197542000000000;-20,632080000000002;-44,501170000000002
1284;PA025;2020;MG;IGAM;Ribeirão do Cláudio;1;8,000000000000000;6,575000000000000;4,900000000000000;7,400000000000000;1,026436000000000;-20,440000000000001;-44,759999999999998
1285;PA026;2020;MG;IGAM;Rio do Peixe (SF2 - Município Piracema);1;8,000000000000000;7,175000000000000;4,700000000000000;8,400000000000000;1,171995000000000;-20,516140000000000;-44,471359999999997
1286;PA028;2020;MG;IGAM;Rio Pará;1;8,000000000000000;7,037500000000000;5,200000000000000;8,100000000000000;1,022514000000000;-20,180970000000002;-44,794059999999995
1287;PA029;2020;MG;IGAM;Ribeirão Paracatu;1;8,000000000000000;6,937500000000000;5,500000000000000;7,700000000000000;0,694751000000000;-20,510000000000002;-44,500000000000000
1288;PA031;2020;MG;IGAM;Rio Itapecerica;1;7,000000000000000;7,442857000000000;5,800000000000000;8,300000000000001;0,896023000000000;-20,389469999999999;-44,968530000000001
1289;PA032;2020;MG;IGAM;Ribeirão Boa Vista;1;8,000000000000000;7,500000000000000;5,300000000000000;8,600000000000000;1,022602000000000;-20,455670000000001;-44,892080000000000
1290;PA034;2020;MG;IGAM;Córrego Buriti ou Córrego do Pinto;1;4,000000000000000;2,475000000000000;1,500000000000000;3,400000000000000;0,842120000000000;-19,990280000000002;-44,870139999999999
1291;PA036;2020;MG;IGAM;Rio São João (SF2);1;8,000000000000000;7,775000000000000;5,500000000000000;8,900000000000000;1,001071000000000;-20,239390000000000;-44,511939999999996
1292;PA040;2020;MG;IGAM;Rio Lambari (SF2);1;8,000000000000000;7,387500000000000;5,600000000000000;8,500000000000000;0,941788000000000;-20,282860000000003;-45,148030000000006
1293;PA042;2020;MG;IGAM;Rio do Peixe (SF2 - Município Pitangui);1;8,000000000000000;6,800000000000000;5,300000000000000;8,199999999999999;1,128843000000000;-19,562780000000000;-44,843890000000002
1294;PA044;2020;MG;IGAM;Córrego do Salobro;1;8,000000000000000;7,350000000000000;3,900000000000000;9,000000000000000;1,682685000000000;-19,295860000000001;-45,024359999999994
1295;PB001;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;7,762500000000000;7,000000000000000;8,900000000000000;0,645728000000000;-19,163060000000002;-46,277780000000000
1296;PB002;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;7,350000000000000;5,300000000000000;9,000000000000000;1,070380000000000;-18,838609999999999;-46,562860000000001
1297;PB003;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;6,800000000000000;5,400000000000000;8,300000000000001;0,899206000000000;-18,602499999999999;-46,539720000000003
1298;PB004;2020;MG;IGAM;Rio Verde (PN1);1;8,000000000000000;7,600000000000000;7,100000000000000;8,600000000000000;0,583095000000000;-16,109999999999999;-46,640000000000001
1299;PB005;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;8,100000000000000;7,500000000000000;9,100000000000000;0,570714000000000;-18,070639999999997;-47,301610000000004
1300;PB007;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;6,587500000000000;5,500000000000000;7,200000000000000;0,687516000000000;-18,424170000000000;-48,068330000000003
1301;PB009;2020;MG;IGAM;Rio Jordão;1;8,000000000000000;7,387500000000000;5,800000000000000;8,100000000000000;0,729848000000000;-18,591670000000001;-48,128750000000004
1302;PB011;2020;MG;IGAM;Rio Quebra Anzol;1;8,000000000000000;7,950000000000000;7,500000000000000;8,699999999999999;0,430946000000000;-19,303000000000001;-46,837779999999995
1303;PB012;2020;MG;IGAM;Rio Capivara;1;4,000000000000000;8,175000000000001;7,700000000000000;8,800000000000001;0,485627000000000;-18,430000000000000;-46,950000000000003
1304;PB013;2020;MG;IGAM;Rio Capivara;1;8,000000000000000;7,587500000000000;6,900000000000000;8,400000000000000;0,559177000000000;-19,360250000000001;-47,046390000000002
1305;PB015;2020;MG;IGAM;Ribeirão Santo Antônio (PN2);1;8,000000000000000;7,987500000000000;7,400000000000000;8,500000000000000;0,339905000000000;-19,053329999999999;-47,106279999999998
1306;PB016;2020;MG;IGAM;Córredo do Indaiá;1;8,000000000000000;6,100000000000000;4,600000000000000;6,900000000000000;0,822887000000000;-18,879999999999999;-46,270000000000003
1307;PB017;2020;MG;IGAM;Rio Araguari;1;8,000000000000000;8,112500000000001;7,400000000000000;8,500000000000000;0,390741000000000;-19,486000000000001;-47,543889999999998
1308;PB019;2020;MG;IGAM;Rio Araguari;1;8,000000000000000;6,775000000000000;5,900000000000000;7,600000000000000;0,592211000000000;-18,872780000000002;-48,077500000000001
1309;PB020;2020;MG;IGAM;Rio da Prata (PN3);1;8,000000000000000;7,712500000000000;7,200000000000000;8,600000000000000;0,535690000000000;-18,480000000000000;-47,149999999999999
1310;PB021;2020;MG;IGAM;Rio Araguari;1;8,000000000000000;7,087500000000000;6,100000000000000;8,199999999999999;0,646833000000000;-18,595170000000000;-48,530940000000001
1311;PB022;2020;MG;IGAM;Rio Uberabinha;1;8,000000000000000;7,887500000000000;7,100000000000000;8,699999999999999;0,488255000000000;-18,985560000000003;-48,211669999999998
1312;PB023;2020;MG;IGAM;Rio Uberabinha;1;8,000000000000000;7,100000000000000;6,600000000000000;7,700000000000000;0,407080000000000;-18,768639999999998;-48,436560000000000
1313;PB024;2020;MG;IGAM;Rio Cocal;1;8,000000000000000;7,800000000000000;7,100000000000000;8,400000000000000;0,417475000000000;-18,559999999999999;-47,109999999999999
1314;PB025;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;6,712500000000000;6,000000000000000;8,000000000000000;0,780911000000000;-18,420000000000002;-49,196110000000004
1315;PB026;2020;MG;IGAM;Rio Douradinho;1;8,000000000000000;7,687500000000000;7,000000000000000;8,199999999999999;0,387068000000000;-18,780000000000001;-48,950000000000003
1316;PB027;2020;MG;IGAM;Rio Tijuco;1;8,000000000000000;8,225000000000000;7,600000000000000;9,400000000000000;0,582482000000000;-18,941780000000001;-49,449719999999999
1317;PB028;2020;MG;IGAM;Córrego São Lourenço;2;8,000000000000000;8,262499999999999;7,300000000000000;9,199999999999999;0,665341000000000;-17,020000000000000;-48,579999999999998
1318;PB029;2020;MG;IGAM;Rio da Prata (PN3);1;8,000000000000000;8,487500000000001;7,600000000000000;9,300000000000001;0,683348000000000;-18,933890000000002;-49,798330000000000
1319;PB030;2020;MG;IGAM;Ribeirão Santo Antônio das Minas Vermelhas;1;8,000000000000000;7,400000000000000;6,800000000000000;8,600000000000000;0,650275000000000;-18,359999999999999;-46,969999999999999
1320;PB031;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;6,937500000000000;5,800000000000000;8,100000000000000;0,696804000000000;-19,050280000000001;-50,503279999999997
1321;PB032;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;6,900000000000000;5,700000000000000;8,100000000000000;0,757816000000000;-17,699999999999999;-46,880000000000003
1322;PB033;2020;MG;IGAM;Rio São Domingos (PN3);1;8,000000000000000;7,737500000000000;7,000000000000000;9,100000000000000;0,680205000000000;-19,220170000000000;-50,676940000000002
1323;PB034;2020;MG;IGAM;Rio Paranaíba;1;8,000000000000000;7,575000000000000;6,700000000000000;8,600000000000000;0,647523000000000;-19,660000000000000;-51,020000000000003
1324;PB035;2020;MG;IGAM;Rio São Marcos;1;8,000000000000000;7,300000000000000;6,500000000000000;8,300000000000001;0,625643000000000;-17,034139999999997;-47,162439999999997
1325;PB036;2020;MG;IGAM;Ribeirão da Batalha;1;8,000000000000000;8,025000000000000;7,300000000000000;9,100000000000000;0,631891000000000;-17,445639999999997;-47,345059999999997
1326;PB037;2020;MG;IGAM;Rio Santo Inácio;1;8,000000000000000;6,850000000000000;5,800000000000000;8,300000000000001;0,796421000000000;-18,415440000000000;-47,154859999999999
1327;PB038;2020;MG;IGAM;Rio Dourados;1;8,000000000000000;7,537500000000000;6,800000000000000;8,600000000000000;0,627780000000000;-18,491190000000000;-47,406330000000004
1328;PB039;2020;MG;IGAM;Rio Perdizes;1;8,000000000000000;6,837500000000000;6,100000000000000;8,500000000000000;0,856801000000000;-18,329750000000001;-47,486559999999997
1329;PB040;2020;MG;IGAM;Rio Bagagem;1;8,000000000000000;8,199999999999999;7,400000000000000;9,400000000000000;0,636957000000000;-18,719439999999999;-47,698689999999999
1330;PB041;2020;MG;IGAM;Rio Piçarrão;1;8,000000000000000;7,525000000000000;6,800000000000000;8,400000000000000;0,587367000000000;-18,761939999999999;-48,047750000000001
1331;PB042;2020;MG;IGAM;Rio Misericórdia;1;8,000000000000000;7,775000000000000;7,300000000000000;8,400000000000000;0,357571000000000;-19,465890000000002;-46,552970000000002
1332;PB043;2020;MG;IGAM;Córrego da estação ambiental CEMIG;1;8,000000000000000;7,937500000000000;7,100000000000000;8,699999999999999;0,526274000000000;-19,230419999999999;-47,149079999999998
1333;PB044;2020;MG;IGAM;Rio Claro;1;8,000000000000000;7,987500000000000;7,400000000000000;8,600000000000000;0,425735000000000;-19,237530000000000;-47,801279999999998
1334;PB045;2020;MG;IGAM;Rio Piedade;1;8,000000000000000;7,950000000000000;7,300000000000000;8,699999999999999;0,450397000000000;-18,538309999999999;-49,192859999999996
1335;PB046;2020;MG;IGAM;Rio Tijuco;1;8,000000000000000;8,237500000000001;7,400000000000000;9,000000000000000;0,483846000000000;-19,166190000000000;-48,736359999999998
1336;PB047;2020;MG;IGAM;Rio Dourado (PN3);1;8,000000000000000;7,775000000000000;7,300000000000000;8,500000000000000;0,439968000000000;-19,067309999999999;-48,571419999999996
1337;PB048;2020;MG;IGAM;Rio Babilônia;1;8,000000000000000;8,087500000000000;7,000000000000000;8,699999999999999;0,581715000000000;-18,946860000000001;-49,025110000000005
1338;PB049;2020;MG;IGAM;Ribeirão Monte Alegre;1;8,000000000000000;7,775000000000000;7,300000000000000;8,400000000000000;0,384522000000000;-18,877580000000002;-49,056810000000006
1339;PB050;2020;MG;IGAM;Rio da Prata (PN3);1;8,000000000000000;7,587500000000000;6,900000000000000;8,300000000000001;0,505505000000000;-19,377029999999998;-49,060610000000004
1340;PB051;2020;MG;IGAM;Rio São Jerônimo;1;8,000000000000000;7,950000000000000;7,300000000000000;9,199999999999999;0,663325000000000;-18,890139999999999;-49,999939999999995
