OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuturb;medturb;minturb;maxturb;devturb;latitude;longitude
2424;86095000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;11,818000000000000;1,930000000000000;25,699999999999999;9,736078000000001;-28,800916999999998;-50,429861000000002
2425;86304000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;11,906000000000001;2,850000000000000;19,510000000000002;6,271788000000000;-29,012556000000000;-51,366805999999997
2426;86329000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;12,596000000000000;5,080000000000000;19,309999999999999;5,209379000000000;-29,057528000000001;-51,395889000000004
2427;86447200;2020;RS;FEPAM;Rio da Prata;1;5,000000000000000;15,002000000000001;3,960000000000000;28,600000000000001;9,429529000000000;-28,971412000000001;-51,456265000000002
2428;86470950;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;16,030000000000001;2,740000000000000;36,399999999999999;12,822471999999999;-29,088556000000001;-51,638055999999999
2429;86472500;2020;RS;FEPAM;Rio Taquari;1;5,000000000000000;16,248000000000001;5,390000000000000;36,000000000000000;11,989394000000001;-29,087983000000001;-51,714438999999999
2430;86487000;2020;RS;FEPAM;Rio Carreiro;1;5,000000000000000;17,718000000000000;12,600000000000000;25,399999999999999;4,823445000000000;-28,684667000000001;-51,849489000000005
2431;86497300;2020;RS;FEPAM;Arroio Taquara;1;5,000000000000000;7,934000000000000;1,320000000000000;20,120000000000001;7,833325000000000;-28,829366000000000;-51,864941999999999
2432;86502700;2020;RS;FEPAM;Rio Carreiro;1;5,000000000000000;19,405999999999999;3,760000000000000;50,000000000000000;17,998222000000002;-28,996138999999999;-51,754281999999996
2433;86503800;2020;RS;FEPAM;Arroio Não Sabia;1;5,000000000000000;8,962000000000000;3,000000000000000;20,120000000000001;7,016254000000001;-28,755647000000000;-51,672581000000001
2434;86509000;2020;RS;FEPAM;Rio Taquari;1;5,000000000000000;18,161999999999999;7,110000000000000;45,000000000000000;15,480146000000000;-29,162799000000000;-51,860761000000004
2435;86555800;2020;RS;FEPAM;Rio Guaporé;1;5,000000000000000;30,149999999999999;4,100000000000000;89,900000000000006;34,109108999999997;-28,911039000000002;-51,953005000000005
2436;86697000;2020;RS;FEPAM;Arroio Jacaré;1;5,000000000000000;11,539999999999999;2,100000000000000;24,199999999999999;9,833532000000000;-29,188453000000003;-51,921524000000005
2437;86718000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;19,673999999999999;8,230000000000000;46,000000000000000;15,133407999999999;-29,226417000000001;-51,851778000000003
2438;86746000;2020;RS;FEPAM;Rio Forqueta;1;5,000000000000000;43,125999999999998;15,390000000000001;121,799999999999997;44,443328000000001;-29,323681999999998;-52,090584999999997
2439;86747000;2020;RS;FEPAM;Rio Forquetinha;1;5,000000000000000;48,158000000000001;10,500000000000000;175,400000000000006;71,339872999999997;-29,405867000000001;-52,055255000000002
2440;86788000;2020;RS;FEPAM;Rio Taquari;1;5,000000000000000;19,634000000000000;6,200000000000000;45,600000000000001;15,179926999999999;-29,385932999999998;-51,873106000000000
2441;86790000;2020;RS;FEPAM;Rio Taquari;1;5,000000000000000;21,474000000000000;11,180000000000000;48,600000000000001;15,355692000000001;-29,407602999999998;-51,940348999999998
2442;86879000;2020;RS;FEPAM;Rio Taquari;1;5,000000000000000;20,056000000000001;9,550000000000001;42,000000000000000;12,686297000000000;-29,469746999999998;-51,957717000000002
2443;86880030;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;40,521999999999998;7,060000000000000;134,400000000000006;53,885047999999998;-29,511639000000002;-51,979861000000000
2444;86880600;2020;RS;FEPAM;Arroio Castelhano;1;5,000000000000000;96,007999999999996;13,529999999999999;217,800000000000011;95,166077000000001;-29,592291999999997;-52,189095000000002
2445;86894500;2020;RS;FEPAM;Rio Taquari;1;5,000000000000000;22,585999999999999;8,130000000000001;40,899999999999999;13,976050000000001;-29,687132000000002;-51,970497999999999
2446;86996000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;25,847999999999999;18,590000000000000;49,399999999999999;13,228759000000000;-29,929222000000003;-51,730667000000004
2447;87048000;2020;RS;FEPAM;Rio Santa Cruz;1;5,000000000000000;2,926000000000000;1,700000000000000;5,600000000000000;1,550735000000000;-29,362916999999999;-50,521332999999998
2448;87109800;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;4,836000000000000;2,550000000000000;11,199999999999999;3,615609000000000;-29,274722000000001;-50,738250000000001
2449;87160100;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;7,850000000000000;3,280000000000000;21,000000000000000;7,448334999999999;-29,325277999999997;-51,180556000000003
2450;87168600;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;10,704000000000001;3,970000000000000;29,199999999999999;10,601006000000000;-29,505222000000000;-51,360111000000003
2451;87255500;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;15,576000000000001;9,180000000000000;35,299999999999997;11,131526000000001;-29,630167000000000;-51,379306000000000
2452;87294000;2020;RS;FEPAM;Informação não disponível;1;5,000000000000000;16,969999999999999;6,000000000000000;47,500000000000000;17,578372999999999;-29,835000000000001;-51,366333000000004
2453;87311000;2020;RS;FEPAM;Lagoa de Itapeva;2;5,000000000000000;25,844000000000001;6,070000000000000;84,200000000000003;33,264079000000002;-29,375260000000001;-49,794850000000004
2454;87311200;2020;RS;FEPAM;Lagoa de Itapeva;2;4,000000000000000;8,832500000000000;4,200000000000000;19,600000000000001;7,216340000000001;-29,529840000000000;-49,975930000000005
2455;87317010;2020;RS;FEPAM;Lagoa dos Quadros;2;5,000000000000000;15,832000000000001;7,520000000000000;24,000000000000000;7,330192000000000;-29,655660000000001;-50,048610000000004
2456;87317015;2020;RS;FEPAM;Lagoa dos Quadros;2;5,000000000000000;20,512000000000000;4,750000000000000;44,700000000000003;15,889068000000000;-29,683599999999998;-50,060969999999998
