OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nup;medp;minp;maxp;devp;latitude;longitude
1796;65155000;2020;PR;Águas Paraná;Rio da Várzea;1;6,000000000000000;0,103167000000000;0,061000000000000;0,180000000000000;0,044197000000000;-25,945556000000000;-49,791389000000002
1797;65175000;2020;PR;Águas Paraná;Rio Negro;1;6,000000000000000;0,106667000000000;0,037000000000000;0,210000000000000;0,061010000000000;-26,091388999999999;-50,333888999999999
1798;65180000;2020;PR;Águas Paraná;Rio Canoinhas;1;6,000000000000000;0,062167000000000;0,042000000000000;0,087000000000000;0,014986000000000;-26,111574000000001;-50,362068000000001
1799;65208000;2020;PR;ANA;Rio Potinga;1;6,000000000000000;0,080000000000000;0,027000000000000;0,140000000000000;0,043216000000000;-25,911033000000000;-50,525682999999994
1800;65220000;2020;PR;Águas Paraná;Rio Iguaçu;1;6,000000000000000;0,120500000000000;0,050000000000000;0,170000000000000;0,046406000000000;-26,019167000000003;-50,592500000000001
1801;65260000;2020;PR;Águas Paraná;TIMBÓ;1;5,000000000000000;0,042600000000000;0,013000000000000;0,099000000000000;0,033650000000000;-26,583055999999999;-50,750000000000000
1802;65295000;2020;PR;Águas Paraná;TIMBÓ;1;6,000000000000000;0,051667000000000;0,023000000000000;0,098000000000000;0,028147000000000;-26,383889000000000;-50,878056000000001
1803;65310000;2020;PR;Águas Paraná;Rio Iguaçu;1;6,000000000000000;0,089833000000000;0,063000000000000;0,120000000000000;0,026851000000000;-26,226944000000000;-51,079999999999998
1804;65365000;2020;PR;Águas Paraná;Rio Espingarda;1;6,000000000000000;0,135667000000000;0,049000000000000;0,510000000000000;0,183804000000000;-26,177222000000000;-51,219722000000004
1805;65365800;2020;PR;Águas Paraná;Rio Iguaçu;1;6,000000000000000;0,110500000000000;0,066000000000000;0,270000000000000;0,078630000000000;-26,165277999999997;-51,227778000000001
1806;65370000;2020;PR;Águas Paraná;Rio Jangada;1;6,000000000000000;0,046667000000000;0,019000000000000;0,097000000000000;0,033851000000000;-26,386944000000000;-51,271667000000001
1807;65415000;2020;PR;Águas Paraná;Rio Palmital;1;6,000000000000000;0,029333000000000;0,020000000000000;0,039000000000000;0,008311000000000;-26,031943999999999;-51,142222000000004
1808;65774300;2020;PR;IAT;Rio Iguaçu;1;2,000000000000000;0,023500000000000;0,022000000000000;0,025000000000000;0,002121000000000;-26,001911000000000;-51,633915999999999
1809;65808500;2020;PR;Águas Paraná;RIO BANANAS;1;5,000000000000000;0,020600000000000;0,013000000000000;0,035000000000000;0,009072000000000;-25,444600000000001;-51,446800000000003
1810;65809000;2020;PR;Águas Paraná;Rio das Pedras;1;5,000000000000000;0,033200000000000;0,022000000000000;0,040000000000000;0,007190000000000;-25,397777999999999;-51,435833000000002
1811;65810700;2020;PR;Águas Paraná;CASCAVEL;1;6,000000000000000;0,119833000000000;0,060000000000000;0,260000000000000;0,074163000000000;-25,416111000000001;-51,508889000000003
1812;65819300;2020;PR;IAT;Rio Pinhão;1;2,000000000000000;0,043000000000000;0,040000000000000;0,046000000000000;0,004243000000000;-25,596811000000002;-51,676195999999997
1813;65825000;2020;PR;Águas Paraná;Rio Jordão;1;2,000000000000000;0,087500000000000;0,015000000000000;0,160000000000000;0,102530000000000;-25,638056000000002;-51,967222000000000
1814;65854500;2020;PR;Águas Paraná;CAVERNOSO;1;2,000000000000000;0,032000000000000;0,028000000000000;0,036000000000000;0,005657000000000;-25,379999999999999;-52,024999999999999
1815;65874990;2020;PR;Águas Paraná;Rio do Meio;1;6,000000000000000;0,069333000000000;0,028000000000000;0,110000000000000;0,035881000000000;-25,855832999999997;-52,546111000000003
1816;65883070;2020;PR;Águas Paraná;Rio Capivara;1;6,000000000000000;0,055667000000000;0,028000000000000;0,120000000000000;0,034168000000000;-25,813889000000000;-52,673333000000000
1817;65925000;2020;PR;ANA;Rio Chopim;1;6,000000000000000;0,034167000000000;0,017000000000000;0,063000000000000;0,015600000000000;-26,280000000000001;-52,299999999999997
1818;65925800;2020;PR;Águas Paraná;Rio Pato Branco;1;6,000000000000000;0,076167000000000;0,044000000000000;0,180000000000000;0,051359000000000;-26,284167000000000;-52,589444000000000
1819;65945000;2020;PR;Águas Paraná;Rio Vitorino;1;6,000000000000000;0,208833000000000;0,036000000000000;0,400000000000000;0,156203000000000;-26,050277999999999;-52,800833000000004
1820;65948000;2020;PR;Águas Paraná;Rio Marmeleiro;1;6,000000000000000;0,046500000000000;0,023000000000000;0,110000000000000;0,031854000000000;-26,152500000000000;-53,019722000000002
1821;65950200;2020;PR;Águas Paraná;Rio Marrecas;1;6,000000000000000;0,189833000000000;0,021000000000000;0,870000000000000;0,335465000000000;-26,081667000000003;-53,073889000000001
1822;65955000;2020;PR;Águas Paraná;Rio Santana;1;5,000000000000000;0,066200000000000;0,023000000000000;0,130000000000000;0,041764000000000;-25,914999999999999;-52,849444000000005
1823;65960000;2020;PR;Águas Paraná;Rio Chopim;1;6,000000000000000;0,123167000000000;0,031000000000000;0,480000000000000;0,177258000000000;-25,769167000000003;-52,926667000000002
1824;65970000;2020;PR;Águas Paraná;Rio Guarani;1;6,000000000000000;0,033333000000000;0,013000000000000;0,070000000000000;0,019745000000000;-25,393611000000000;-53,103611000000001
1825;65970250;2020;PR;Águas Paraná;Rio Boa Esperança;1;6,000000000000000;0,054333000000000;0,017000000000000;0,110000000000000;0,040118000000000;-25,639443999999997;-53,214167000000003
1826;65974500;2020;PR;Águas Paraná;Rio Sarandi;1;6,000000000000000;0,075833000000000;0,011000000000000;0,320000000000000;0,120388000000000;-25,769400000000001;-53,515599999999999
1827;65974590;2020;PR;IAT;Rio Cotegipe;1;4,000000000000000;0,084750000000000;0,031000000000000;0,240000000000000;0,103510000000000;-25,584817000000001;-53,500799999999998
1828;65976001;2020;PR;Águas Paraná;Rio Cascavel;1;5,000000000000000;0,024800000000000;0,010000000000000;0,038000000000000;0,012029000000000;-25,029722000000000;-53,464722000000002
1829;65979000;2020;PR;Águas Paraná;Rio Andrada;1;6,000000000000000;0,063833000000000;0,022000000000000;0,200000000000000;0,068148000000000;-25,433100000000000;-53,516700000000000
1830;65985220;2020;PR;Águas Paraná;Rio Siemens;1;6,000000000000000;0,125000000000000;0,009000000000000;0,530000000000000;0,200388000000000;-25,683100000000000;-53,748600000000003
1831;65987002;2020;PR;Águas Paraná;RIO IGUAÇU;1;6,000000000000000;0,050167000000000;0,013000000000000;0,086000000000000;0,030616000000000;-25,573799999999999;-53,944499999999998
1832;65990550;2020;PR;Águas Paraná;Rio Santo Antonio;1;6,000000000000000;0,214167000000000;0,012000000000000;0,900000000000000;0,342764000000000;-25,746110999999999;-53,840278000000005
1833;65992501;2020;PR;COPEL;Rio Iguaçu;1;6,000000000000000;0,044167000000000;0,017000000000000;0,077000000000000;0,025349000000000;-25,680000000000000;-54,439999999999998
1834;65996000;2020;PR;Águas Paraná;Rio Tamandua;1;7,000000000000000;0,316143000000000;0,008000000000000;2,000000000000000;0,742772000000000;-25,569199999999999;-54,518299999999996
1835;81019350;2020;PR;Águas Paraná;AÇUNGUI;1;6,000000000000000;0,019667000000000;0,011000000000000;0,031000000000000;0,006683000000000;-25,236667000000001;-49,594166999999999
1836;81102000;2020;PR;Águas Paraná;Informação não disponível;1;6,000000000000000;0,036500000000000;0,004000000000000;0,096000000000000;0,031297000000000;-24,930277999999998;-49,483055999999998
1837;81120000;2020;PR;Águas Paraná;Rio Piedade;1;6,000000000000000;0,033000000000000;0,003000000000000;0,075000000000000;0,025931000000000;-25,341792999999999;-49,184367999999999
1838;81125000;2020;PR;Águas Paraná;Rio Turvo;1;6,000000000000000;0,092000000000000;0,018000000000000;0,380000000000000;0,141416000000000;-25,341792999999999;-49,184367999999999
